DNS.aa,DNS.ad,DNS.an,DNS.ancount,DNS.ar,DNS.arcount,DNS.cd,DNS.id,DNS.length,DNS.ns,DNS.nscount,DNS.opcode,DNS.qd,DNS.qdcount,DNS.qr,DNS.ra,DNS.rcode,DNS.rd,DNS.tc,DNS.z,Ether.dst,Ether.src,Ether.type,IP.chksum,IP.dst,IP.flags,IP.frag,IP.id,IP.ihl,IP.len,IP.options,IP.proto,IP.src,IP.tos,IP.ttl,IP.version,IPv4,TCP.ack,TCP.chksum,TCP.dataofs,TCP.dport,TCP.flags,TCP.options,TCP.reserved,TCP.seq,TCP.sport,TCP.urgptr,TCP.window,UDP.chksum,UDP.dport,UDP.len,UDP.sport,packet_len,timestamp
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18811,00:00:0a:00:01:02,DF,0,46686,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18811,8,5001,DF,,0,253707308,44576,0,74,,,,,9514,1742994110.298563
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18810,00:00:0a:00:01:02,DF,0,46687,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18810,8,5001,DF,,0,253716756,44576,0,74,,,,,9514,1742994110.298565
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18809,00:00:0a:00:01:02,DF,0,46688,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18809,8,5001,DF,,0,253726204,44576,0,74,,,,,9514,1742994110.298729
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18808,00:00:0a:00:01:02,DF,0,46689,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18808,8,5001,DF,,0,253735652,44576,0,74,,,,,9514,1742994110.298730
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18807,00:00:0a:00:01:02,DF,0,46690,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18807,8,5001,DF,,0,253745100,44576,0,74,,,,,9514,1742994110.298736
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18806,00:00:0a:00:01:02,DF,0,46691,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18806,8,5001,DF,,0,253754548,44576,0,74,,,,,9514,1742994110.298737
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18805,00:00:0a:00:01:02,DF,0,46692,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18805,8,5001,DF,,0,253763996,44576,0,74,,,,,9514,1742994110.357202
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18804,00:00:0a:00:01:02,DF,0,46693,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18804,8,5001,DF,,0,253773444,44576,0,74,,,,,9514,1742994110.357203
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18803,00:00:0a:00:01:02,DF,0,46694,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18803,8,5001,DF,,0,253782892,44576,0,74,,,,,9514,1742994110.357219
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,20094,00:00:0a:00:01:02,DF,0,46695,5,8208,,6,00:00:0a:00:01:01,0,64,4,,4257921081,20094,8,5001,DF,,0,253792340,44576,0,74,,,,,8222,1742994110.357220
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18801,00:00:0a:00:01:02,DF,0,46696,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18801,8,5001,DF,,0,253800496,44576,0,74,,,,,9514,1742994111.292572
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18800,00:00:0a:00:01:02,DF,0,46697,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18800,8,5001,DF,,0,253809944,44576,0,74,,,,,9514,1742994111.292882
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18799,00:00:0a:00:01:02,DF,0,46698,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18799,8,5001,DF,,0,253819392,44576,0,74,,,,,9514,1742994111.292911
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18798,00:00:0a:00:01:02,DF,0,46699,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18798,8,5001,DF,,0,253828840,44576,0,74,,,,,9514,1742994111.292913
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18797,00:00:0a:00:01:02,DF,0,46700,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18797,8,5001,DF,,0,253838288,44576,0,74,,,,,9514,1742994111.292925
